Partidos/Juntas;CANTON;ACCESIBILIDAD SIN EXCLUSION;ACCION CIUDADANA;ALIANZA DEMOCRATA CRISTIANA;DE LOS TRABAJADORES;FRENTE AMPLIO;INTEGRACION NACIONAL;LIBERACION NACIONAL;MOVIMIENTO LIBERTARIO;NUEVA GENERACION;RENOVACION COSTARRICENSE;REPUBLICANO SOCIAL CRISTIANO;RESTAURACION NACIONAL;UNIDAD SOCIAL CRISTIANA;VOTOS NULOS;VOTOS BLANCOS
1;SAN JOSE;1;108;0;0;6;36;70;3;5;3;10;34;86;2;1
2;SAN JOSE;0;94;1;0;3;35;63;1;3;0;10;42;88;5;0
3;SAN JOSE;0;98;4;2;6;32;102;3;1;1;8;52;84;3;0
4;SAN JOSE;2;96;0;2;7;43;88;4;4;0;18;39;100;0;0
5;SAN JOSE;0;84;1;1;6;29;86;2;2;0;9;37;134;1;1
6;SAN JOSE;1;96;2;0;10;30;62;0;1;0;9;33;91;1;0
7;SAN JOSE;0;65;1;0;4;33;65;3;2;1;13;43;76;4;0
8;SAN JOSE;2;96;1;0;7;36;73;4;8;1;9;34;71;1;1
9;SAN JOSE;1;85;1;0;4;24;74;1;2;1;12;35;83;1;0
10;SAN JOSE;1;80;2;0;3;46;55;5;2;1;16;74;56;2;0
11;SAN JOSE;2;84;1;1;2;40;82;5;3;2;21;73;53;2;2
12;SAN JOSE;1;94;2;0;5;48;70;3;3;2;8;77;52;3;3
13;SAN JOSE;0;82;0;0;3;47;84;5;5;2;22;81;58;3;0
14;SAN JOSE;0;63;0;0;1;45;70;4;0;2;16;83;53;2;1
15;SAN JOSE;4;80;3;1;2;58;71;12;1;1;16;82;44;0;0
16;SAN JOSE;0;86;1;0;1;40;72;6;5;1;24;79;53;3;0
17;SAN JOSE;1;72;1;3;2;48;81;6;5;0;15;80;49;5;0
18;SAN JOSE;2;71;0;0;2;55;70;4;3;4;19;85;55;1;0
19;SAN JOSE;4;76;2;2;3;36;61;4;3;2;20;74;54;3;1
20;SAN JOSE;1;99;2;4;4;48;50;8;2;1;23;78;60;1;0
21;SAN JOSE;2;87;1;1;2;39;69;5;3;3;20;89;40;5;10
22;SAN JOSE;2;88;1;0;1;48;78;1;0;5;9;72;50;2;0
23;SAN JOSE;0;71;1;1;4;38;70;8;2;1;16;64;52;7;0
24;SAN JOSE;1;95;2;0;7;38;59;1;2;0;16;80;71;4;2
25;SAN JOSE;0;89;0;1;4;32;77;2;1;4;7;43;70;3;0
26;SAN JOSE;0;107;0;0;3;29;63;2;4;1;6;49;59;6;1
27;SAN JOSE;2;64;4;0;2;45;60;7;2;3;13;82;38;3;0
28;SAN JOSE;1;52;1;0;3;44;65;3;5;1;11;73;41;0;0
29;SAN JOSE;0;54;1;1;2;43;57;0;2;1;10;43;39;2;1
30;SAN JOSE;2;87;2;0;5;41;80;3;3;3;24;101;42;1;0
31;SAN JOSE;0;65;3;0;6;46;72;3;2;1;18;120;58;3;2
32;SAN JOSE;0;45;1;0;3;40;78;4;4;3;16;82;28;2;1
33;SAN JOSE;1;55;3;1;5;43;65;3;5;3;14;112;46;1;0
34;SAN JOSE;1;51;1;1;3;41;72;6;1;1;9;90;28;4;0
35;SAN JOSE;3;61;3;1;2;34;62;3;0;1;20;78;37;3;0
36;SAN JOSE;1;51;0;2;0;38;64;2;3;3;18;85;40;2;0
